word,G2_signed,War_and_Peace_per10k,Anna_Karenina_per10k
circles,3.1980048470130544,0.835064700813019,0.40669064204832645
alive,3.160819861864921,1.6033242255609965,0.9876772735459357
joined,3.160819861864921,1.6033242255609965,0.9876772735459357
nonsense,3.1369761830983123,2.7390122186667023,1.9172558839421106
engaged,3.1183764698746614,1.0688828170406643,0.5809866314976092
nose,3.101528621763471,1.670129401626038,1.0457759366956967
crossed,3.081657821269875,2.1711682221138493,1.452466578744023
clean,3.0612230560344944,1.3695061093333512,0.8133812840966529
hunger,3.054560043517382,0.5678439965528529,0.2323946525990437
courtyard,3.054560043517382,0.5678439965528529,0.2323946525990437
describe,3.054560043517382,0.5678439965528529,0.2323946525990437
retreated,3.054560043517382,0.5678439965528529,0.2323946525990437
reached,3.03216824996149,4.876777852748031,3.77641310473446
daughter's,3.022738918271873,0.9018698768780605,0.4647893051980874
admitted,3.022738918271873,0.9018698768780605,0.4647893051980874
thus,3.022738918271873,0.9018698768780605,0.4647893051980874
handsome,3.0134825312622944,3.607479507512242,2.6725385048890025
nap,3.0038206764982798,0.2672207042601661,0.05809866314976093
obligation,3.0038206764982798,0.2672207042601661,0.05809866314976093
saddled,3.0038206764982798,0.2672207042601661,0.05809866314976093
gap,3.0038206764982798,0.2672207042601661,0.05809866314976093
astronomy,3.0038206764982798,0.2672207042601661,0.05809866314976093
crackling,3.0038206764982798,0.2672207042601661,0.05809866314976093
amiably,3.0038206764982798,0.2672207042601661,0.05809866314976093
fifteenth,3.0038206764982798,0.2672207042601661,0.05809866314976093
puffing,3.0038206764982798,0.2672207042601661,0.05809866314976093
guilt,3.0038206764982798,0.2672207042601661,0.05809866314976093
suggesting,3.0038206764982798,0.2672207042601661,0.05809866314976093
contained,3.0038206764982798,0.2672207042601661,0.05809866314976093
emerged,3.0038206764982798,0.2672207042601661,0.05809866314976093
disorganized,3.0038206764982798,0.2672207042601661,0.05809866314976093
mentioning,3.0038206764982798,0.2672207042601661,0.05809866314976093
wandered,3.0038206764982798,0.2672207042601661,0.05809866314976093
rejoinder,3.0038206764982798,0.2672207042601661,0.05809866314976093
dowry,3.0038206764982798,0.2672207042601661,0.05809866314976093
novelty,3.0038206764982798,0.2672207042601661,0.05809866314976093
dancers,3.0038206764982798,0.2672207042601661,0.05809866314976093
pit,3.0038206764982798,0.2672207042601661,0.05809866314976093
unavoidable,3.0038206764982798,0.2672207042601661,0.05809866314976093
impress,3.0038206764982798,0.2672207042601661,0.05809866314976093
conveyed,3.0038206764982798,0.2672207042601661,0.05809866314976093
energetically,3.0038206764982798,0.2672207042601661,0.05809866314976093
conjectures,3.0038206764982798,0.2672207042601661,0.05809866314976093
veiled,3.0038206764982798,0.2672207042601661,0.05809866314976093
necks,3.0038206764982798,0.2672207042601661,0.05809866314976093
traditions,3.0038206764982798,0.2672207042601661,0.05809866314976093
fewer,3.0038206764982798,0.2672207042601661,0.05809866314976093
collection,3.0038206764982798,0.2672207042601661,0.05809866314976093
flame,3.0038206764982798,0.2672207042601661,0.05809866314976093
moan,3.0038206764982798,0.2672207042601661,0.05809866314976093
unusually,3.0038206764982798,0.2672207042601661,0.05809866314976093
relative,3.0038206764982798,0.2672207042601661,0.05809866314976093
eternity,3.0038206764982798,0.2672207042601661,0.05809866314976093
insolent,3.0038206764982798,0.2672207042601661,0.05809866314976093
tomorrow's,3.0038206764982798,0.2672207042601661,0.05809866314976093
peering,3.0038206764982798,0.2672207042601661,0.05809866314976093
strains,3.0038206764982798,0.2672207042601661,0.05809866314976093
whips,3.0038206764982798,0.2672207042601661,0.05809866314976093
compelled,3.0038206764982798,0.2672207042601661,0.05809866314976093
presentiment,3.0038206764982798,0.2672207042601661,0.05809866314976093
campaigns,3.0038206764982798,0.2672207042601661,0.05809866314976093
vous,3.0026908581570986,1.1356879931057058,0.6390852946473701
weeks,3.0026908581570986,1.1356879931057058,0.6390852946473701
speech,2.9869639873623903,1.4363112853983928,0.8714799472464139
badly,2.9869639873623903,1.4363112853983928,0.8714799472464139
distinguish,2.981399824916327,0.7348569367154566,0.3485919788985655
powers,2.981399824916327,0.7348569367154566,0.3485919788985655
damp,2.981399824916327,0.7348569367154566,0.3485919788985655
sprang,2.981399824916327,0.7348569367154566,0.3485919788985655
grasp,2.981399824916327,0.7348569367154566,0.3485919788985655
newly,2.981399824916327,0.7348569367154566,0.3485919788985655
story,2.9580410250135287,2.5051941024390567,1.7429598944928277
tr,2.9202206245692954,0.4676362324552906,0.17429598944928276
tenth,2.9202206245692954,0.4676362324552906,0.17429598944928276
intrigues,2.9202206245692954,0.4676362324552906,0.17429598944928276
straining,2.9202206245692954,0.4676362324552906,0.17429598944928276
chose,2.9202206245692954,0.4676362324552906,0.17429598944928276
chances,2.9202206245692954,0.4676362324552906,0.17429598944928276
bind,2.9202206245692954,0.4676362324552906,0.17429598944928276
inspired,2.9202206245692954,0.4676362324552906,0.17429598944928276
turkey,2.9202206245692954,0.4676362324552906,0.17429598944928276
flattered,2.9202206245692954,0.4676362324552906,0.17429598944928276
grief,2.9042078740257082,1.2024931691707472,0.697183957797131
